,nn5_0,nn5_1,nn5_10,nn5_100,nn5_101,nn5_102,nn5_103,nn5_104,nn5_105,nn5_106,nn5_107,nn5_108,nn5_109,nn5_11,nn5_110,nn5_12,nn5_13,nn5_14,nn5_15,nn5_16,nn5_17,nn5_18,nn5_19,nn5_2,nn5_20,nn5_21,nn5_22,nn5_23,nn5_24,nn5_25,nn5_26,nn5_27,nn5_28,nn5_29,nn5_3,nn5_30,nn5_31,nn5_32,nn5_33,nn5_34,nn5_35,nn5_36,nn5_37,nn5_38,nn5_39,nn5_4,nn5_40,nn5_41,nn5_42,nn5_43,nn5_44,nn5_45,nn5_46,nn5_47,nn5_48,nn5_49,nn5_5,nn5_50,nn5_51,nn5_52,nn5_53,nn5_54,nn5_55,nn5_56,nn5_57,nn5_58,nn5_59,nn5_6,nn5_60,nn5_61,nn5_62,nn5_63,nn5_64,nn5_65,nn5_66,nn5_67,nn5_68,nn5_69,nn5_7,nn5_70,nn5_71,nn5_72,nn5_73,nn5_74,nn5_75,nn5_76,nn5_77,nn5_78,nn5_79,nn5_8,nn5_80,nn5_81,nn5_82,nn5_83,nn5_84,nn5_85,nn5_86,nn5_87,nn5_88,nn5_89,nn5_9,nn5_90,nn5_91,nn5_92,nn5_93,nn5_94,nn5_95,nn5_96,nn5_97,nn5_98,nn5_99
variance_larger_than_standard_deviation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
has_duplicate_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_duplicate_min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
has_duplicate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sum_values,20018.92006802721,12413.180272108844,15221.159297052154,13661.649659863946,15987.358276643992,5579.974489795918,16496.031746031746,11638.123582766439,13939.937641723358,12026.955782312925,12666.340702947846,19038.46371882086,16322.916666666668,11179.591836734693,10801.998947922148,13669.67120181406,12831.958616780044,12562.769274376416,15462.386621315192,17526.643990929704,18019.71371882086,18861.196145124715,12318.523242630385,15164.285714285714,11821.967120181405,12176.40306122449,7655.536559705419,20975.17006802721,12386.366213151927,9725.683850604946,6211.111111111111,11654.53514739229,16751.927437641723,15101.162131519275,14818.367346938776,12794.501133786847,15038.591269841269,13717.439058956916,21140.759637188206,13242.81462585034,8069.21768707483,9593.941326530614,19475.623582766442,12888.690476190477,11842.091836734693,14230.711451247165,12861.026077097506,14902.239229024943,16005.371315192744,12386.763038548754,11363.180272108842,11314.654195011337,20018.92006802721,16371.768707482996,13232.454648526076,15221.159297052154,12955.49886621315,9905.260389268806,17803.156233561283,7606.3913729616,12572.856391372961,6400.802209363493,8546.094160967912,11996.054708048396,14427.169910573382,9223.23776959495,13231.78590215676,13537.287414965987,13135.021041557075,14806.7201472909,9926.157285639138,8474.47396107312,17705.352446081008,16968.67438190426,20107.338243029983,27093.503419253022,13009.218832193583,12629.300368227248,15493.112244897959,8682.930036822723,10090.07101525513,11209.744871120463,9415.59705418201,13498.474487112047,9766.912151499211,12608.298264071542,13124.118884797475,10801.998947922148,15850.604944765913,6264.7675736961455,5704.076801683324,7874.723829563387,19302.28826933193,10608.567859021568,9915.13677012099,9747.659126775381,14305.825881115203,9572.567069963177,6742.148869016307,14244.63440294582,13628.061224489797,10768.634928984746,13250.486586007366,15435.376117832719,13050.815360336666,16667.93792740663,15562.835349815887,9925.473435034193,14966.333508679643,10153.037874802736,9854.813256180958
abs_energy,658241.1056944509,242526.37347928592,381861.47461866454,300603.8150095639,445794.2277499151,50475.40814559006,488358.57037448394,218682.44118320043,331951.9945875176,240287.0894200462,255450.7270713463,607344.3051634864,450222.06800567923,196081.5990700891,196881.02741407178,303478.21493487793,257058.79948587524,264799.56690017274,440704.20319015736,518836.410674436,556627.7017822436,626770.3898452804,232679.22320335917,401366.22721178416,215300.0164540495,231607.02575862166,101050.70516472822,724212.4937654578,248932.1675382171,167098.9020632293,61328.79304405058,213596.6045526298,461547.8512361105,422097.95678948076,357447.0345110834,267299.7856313727,360924.4024400199,337895.55483769946,729804.8431626997,303000.4977590999,114496.81459885542,173869.02798546193,600156.9055910346,263326.25439631636,215453.750141402,356705.84927801427,277217.6853073051,370539.3023611561,398233.3213543354,242158.17395079727,211013.67108162236,205746.02845200815,658241.1056944509,459106.55997565313,289982.63326494617,381861.47461866454,303766.9473496126,164691.98843544512,606682.6549109926,91595.93908186976,249688.9430789078,64156.55306559492,129194.22323614388,226447.75300300156,359609.6177542703,139048.90913334742,277483.5465829469,287195.49985763396,279005.59255338076,360673.91041316336,161076.96802480269,131761.46441793558,525379.083373711,470486.06716307846,624536.1293413776,1108653.2728974284,288329.9988364052,251484.57261481747,421284.81019675446,114385.3096953872,165981.81647938,233813.18304120784,143013.9674957199,298319.8749737465,149522.22085554793,240840.34528326272,266540.9429711265,196881.02741407178,404876.12212183233,62969.0777955173,56338.39653871367,101793.41709739967,640311.6721839416,175974.13710833827,174355.97640130157,159916.68190915883,359763.59050346154,167733.45018167852,77003.47345495781,340030.4087718167,286790.55409011676,191819.4501094554,283356.3824142503,381081.0393959158,258315.30464737822,452752.6052209295,386444.9021265975,169543.56282346483,354870.5697961786,161898.92529361742,153885.29452783926
mean_abs_change,9.704846550492343,5.360132637529898,7.2303179262572606,6.086843413164353,9.729017177647313,2.1962654924983696,11.27710216506694,5.664701953840898,8.258472338707172,6.919361351846675,6.381414437921287,10.806211754108036,6.089619637809462,5.108894014226696,6.052744409935651,6.859177460938714,6.001867642033983,7.331679247041282,11.343673314074486,10.085402882614233,11.380288416736557,12.099582983878483,5.126735625757152,8.935560525580094,4.963190755754357,5.412279066877892,4.846638034776218,9.935370266828192,5.979211319230888,4.7990243058808275,2.611243127387941,5.473860777187587,8.75029121237536,9.557357189451123,7.5015337185102355,7.3212344298449965,7.015014910073617,9.377931537911968,10.158788401205232,9.15810502283105,5.5726206007517165,6.792742211039667,9.249623365327865,5.708772093312211,4.664833970117727,8.468921815301464,7.065258751902587,7.962173453856428,7.02930373062467,5.400747056813594,5.690600441089677,5.590636939707389,9.704846550492343,9.030767558164818,6.829823253502314,7.2303179262572606,8.467232783524368,5.123366937372544,12.202625871026784,3.6474134017424142,5.3996454641753076,2.727637941098052,5.7513168988203764,5.845967875595396,8.914035871531206,4.646671182434623,5.373307487767793,6.048500450408474,6.6835947914940235,7.841871257377155,5.343114294567386,6.099259221894749,9.451063967774711,8.22359176496869,8.471100286078704,8.765790175322289,8.495042263264468,5.443223825960382,9.62827710993073,3.36715355292456,4.780847138852659,7.900933538944896,4.597706326158548,7.6819338055673665,4.400910119403631,4.894503974116003,5.171935462950286,6.052744409935651,7.104353872871523,2.798939210387351,3.388627470761603,4.03313324638078,10.8548312712127,4.276948685983585,6.677019304908017,5.731446318808414,8.906271392850194,5.0810676428411865,3.089974274534672,7.827765487522789,5.382769546174633,5.671564353296391,6.350064493813639,5.821107131790766,5.417696525981279,8.454148141209027,7.733222600938223,5.359904304151384,7.519888595043704,3.804162192933784,4.213409669027837
mean_change,0.02285046438666791,0.0098623924455627,0.002077314944242537,0.004154629888485074,0.011881464914733013,0.004212872363557295,0.013318112633181126,0.002640325536607335,0.016929146087658806,0.016269064703506975,0.007629764234460908,0.031315037430497315,0.006464914733016497,-0.0037857608796943417,0.014754310997095977,0.012619202932314479,0.012871586990960766,0.019763613207840213,0.03822647780573417,0.016948560246016212,0.019744199049482804,0.03527552573540833,0.005319479389929487,-0.007726835026247942,0.006057217407510947,0.013512254216755197,0.007296087855706802,0.023588202404249376,0.015492498369210694,0.016970159901421745,-0.0008153946510110901,0.014677103718199604,-0.016987388562731028,0.009474109278414564,0.01900646103190135,0.007299723542384988,0.018074581430745817,0.020404280433634642,0.02630618457428634,0.01861817786475321,0.012327990556953373,0.0010483645512999722,0.023471717454104927,0.012386233032025597,0.008037461559966453,0.021239089243003138,0.02976190476190476,0.015997266486503275,0.010813686205075631,0.01588078153635884,0.01642437797036624,0.008212188985183113,0.02285046438666791,0.017628055788525457,0.009512937595129375,0.002077314944242537,0.01989951231634206,0.008431034855483415,0.027887269137368217,0.005602674871913124,0.008160809379346127,0.00880935052207562,0.004125442269029277,0.00790859893495132,0.015619032520735305,0.004485742903878996,0.004972148760926115,0.008872270369334953,0.005494584681458207,0.019384174154914863,0.007314102887449288,-0.0142138600448214,0.013925619536941613,0.019077918615292604,0.008358974728513477,0.02432029285235601,0.01118733471208376,0.014862401187550892,0.01978302736619762,0.004828028506986227,0.01698817493316423,0.008043711673019968,-0.00012610522219740075,-0.00021618038090983265,0.011259394839053704,0.00392727691986193,0.007206012696994374,0.014754310997095977,0.022032383821060295,0.0014366477184481106,0.005152299078350976,0.013223033298984674,0.026608201883651723,0.01669993442528446,-0.001080901904549156,0.009331786442607713,0.008863395617303078,0.0011529620315191011,0.002990495269252664,-0.001531277698111308,0.017239772621377318,-0.003639036411982157,-0.0034048409993298425,0.009277741347380254,0.006089080728960245,-0.001783488142506095,0.01280868756890749,0.002341954126523171,0.005746795125853016,0.01005238771230715,0.0076563884905565234
mean_second_derivative_central,-0.0024495394865765223,0.0009331578996481981,-0.0004957401341881078,0.0006609868455841396,0.0013414144807442864,0.001351134875532289,0.010468865186678238,-0.005657269766617207,0.004607467129512983,0.0036451480455007815,-0.0018565954045083963,0.0059002796363172615,0.003450740149740739,-0.00678483556202545,0.004753472470268699,0.007581907934641622,0.0011956085589242566,0.002400937512636512,0.00832065793852978,0.00570587174055722,0.003635427650712773,0.013307220464774847,0.001681628298324361,-0.015406825738983292,0.00402424344223286,0.008048486884465722,0.0014521993694748786,0.002731430935428582,0.0012733717172282702,-0.0022549679650231023,0.0005637828977041202,0.0027217105406405796,-0.011178454006202392,0.004199210548416898,0.004937960552305055,0.004831036209637033,0.00448110199726896,0.006167590492987317,0.011022927689594357,0.0029938815947046413,0.0014191776390483023,0.0022745723803924856,0.004928240157517053,0.007737434251249653,-0.0007970723726161695,0.006279375033049342,0.011382582296750435,0.0030813651477966625,-0.0016233059295963483,0.002352335538696503,0.003421578965376736,0.00707644740566551,-0.0024495394865765223,0.0014872204025643172,0.00248842106572853,-0.0004957401341881078,0.004840756604425035,0.005312704525594426,0.012844297528771587,-0.0009200269297294252,0.0005772717990459136,0.002128689758981807,0.0031659750228924355,-0.0013620006508739534,0.003941684002860385,-0.0010914044950711807,-0.004221300030523245,0.0029550000155526323,0.00012627820604129173,0.006268810942764224,0.0021557493745620877,-0.009281448144035085,-0.0001443179497614848,0.0026518423268671676,0.004473856442605837,0.004870730804449899,0.0012357224448326606,0.0055472211939568295,-0.004656069103452995,0.0004870730804449897,-0.0024173256585047656,1.8039743720185142e-05,-0.0006313910302064683,0.005393883372335259,0.003680107718917703,0.0003607948744036955,0.0009290468015895162,0.004753472470268699,0.005213485935133413,-0.0018857565888724026,0.0005953115427660999,0.00401384297774112,0.002633802583146982,0.0017769147564382045,-0.0015333782162157072,0.0018941730906194064,0.0017227955252776515,-0.0005772717990459148,0.003445591050555299,0.0068911821011105965,0.004364457259812934,0.001822014115738667,-0.006575486586007366,0.0003698147462637921,0.004933869907470545,0.004266399389823712,0.006494307739266534,0.004672293623527869,-0.001812994243878574,0.004338558364704448,0.0037522666937984425
median,25.52437641723356,15.830498866213151,19.061791383219955,18.721655328798185,20.30895691609977,7.383786848072562,19.37358276643991,14.59750566893424,17.84297052154195,15.830498866213151,16.241496598639454,22.066326530612244,21.47108843537415,14.668367346938776,13.164124145186744,16.680839002267575,16.87925170068027,14.88095238095238,17.50283446712018,21.99546485260771,21.75453514739229,20.84750566893424,16.1281179138322,18.22562358276644,14.994331065759637,15.206916099773242,9.573908469226724,26.33219954648526,15.717120181405896,12.716991057338245,7.950680272108843,14.3140589569161,19.869614512471657,18.18310657596372,18.112244897959183,16.780045351473923,18.89172335600907,15.674603174603174,26.53061224489796,16.87925170068027,9.764739229024944,13.562925170068027,24.404761904761905,15.9297052154195,14.611678004535149,16.39739229024943,15.759637188208616,17.70124716553288,21.215986394557824,15.717120181405896,13.973922902494332,14.710884353741497,25.52437641723356,19.982993197278912,16.057256235827666,19.061791383219955,15.717120181405896,12.467122567069962,18.0299842188322,9.652814308258812,16.64913203577065,8.022093634928984,10.67859021567596,16.38611257233035,16.64913203577065,11.007364544976328,17.004208311415045,17.261904761904763,16.031036296685954,18.503419253024724,12.033140452393477,10.967911625460284,21.173066806943712,20.81799053129932,27.4986849026828,37.8616517622304,17.083114150447134,15.7154129405576,19.09013605442177,11.533403471856918,13.09836927932667,13.085218306154657,12.07259337190952,17.056812204103103,12.664387164650185,17.004208311415045,17.162019989479223,13.164124145186744,20.265649658074697,8.30498866213152,6.956864807995792,9.639663335086796,23.02735402419779,13.84797475013151,11.92793266701736,12.664387164650185,16.833245660178854,12.322461862177802,8.95581273014203,17.083114150447134,17.41780045351474,13.795370857443451,16.41241451867438,20.739084692267227,17.93792740662809,21.935823250920567,20.30510257759074,12.809047869542344,19.029458179905312,13.216728037874804,12.269857969489742
